<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DATA,D,20220113,00:00:00,67.5,67.58,65,77.5,
DATA,D,20220114,00:00:00,65.9,66.1,62.36,75.9,
DATA,D,20220117,00:00:00,64.38,64.58,62.26,74.38,
DATA,D,20220118,00:00:00,62.52,62.78,58,72.52,
DATA,D,20220119,00:00:00,58.3,62.1,57.98,68.3,
DATA,D,20220120,00:00:00,62.46,62.68,60.5,72.46,
DATA,D,20220121,00:00:00,60.78,62.12,60.4,70.78,
DATA,D,20220124,00:00:00,60.62,60.84,55.44,70.62,
DATA,D,20220125,00:00:00,58.94,59.6,57.1,68.94,
DATA,D,20220126,00:00:00,59.22,60.48,58.32,69.22,
DATA,D,20220127,00:00:00,58.38,62.48,58.16,68.38,
DATA,D,20220128,00:00:00,62.12,62.58,61.08,72.12,
DATA,D,20220131,00:00:00,62.6,63.26,62.3,72.6,
DATA,D,20220201,00:00:00,63.34,63.48,62.42,73.34,
DATA,D,20220202,00:00:00,63.5,63.5,62.44,73.5,
DATA,D,20220203,00:00:00,62.22,62.46,61.12,72.22,
DATA,D,20220204,00:00:00,62.22,63.02,61.42,72.22,
DATA,D,20220207,00:00:00,62.42,62.48,61.06,72.42,
DATA,D,20220208,00:00:00,62,63,61.86,72,
DATA,D,20220209,00:00:00,63.52,64.62,63.4,73.52,
DATA,D,20220210,00:00:00,64.34,65,63.52,74.34,
DATA,D,20220211,00:00:00,63.62,63.7,61.06,73.62,
DATA,D,20220214,00:00:00,61.34,62.4,60.42,71.34,
DATA,D,20220215,00:00:00,62.82,64.2,62.2,72.82,
DATA,D,20220216,00:00:00,65.22,65.32,63.9,75.22,
DATA,D,20220217,00:00:00,63.68,63.68,62,73.68,
DATA,D,20220218,00:00:00,62.98,63.12,59.5,72.98,
DATA,D,20220221,00:00:00,60.6,61.28,49.18,70.6,
DATA,D,20220222,00:00:00,51.5,55.42,48.7,61.5,
DATA,D,20220224,00:00:00,52.96,54.7,35,62.96,
DATA,D,20220225,00:00:00,41.8,50.14,41.02,51.8,
DATA,D,20220330,00:00:00,44.5,44.62,41.4,54.5,
DATA,D,20220331,00:00:00,44.74,48,44.7,54.74,
DATA,D,20220401,00:00:00,48.02,50.1,48,58.02,
DATA,D,20220404,00:00:00,48.94,50.26,47.36,58.94,
DATA,D,20220405,00:00:00,49.18,49.62,45.42,59.18,
DATA,D,20220406,00:00:00,47.22,47.74,45.86,57.22,
DATA,D,20220407,00:00:00,46.36,46.88,46.3,56.36,
DATA,D,20220408,00:00:00,46.78,47.12,45.02,56.78,
DATA,D,20220411,00:00:00,45.7,46.38,45.38,55.7,
DATA,D,20220412,00:00:00,45.66,45.94,44,55.66,
DATA,D,20220413,00:00:00,44.96,45.38,44.58,54.96,
DATA,D,20220414,00:00:00,45.14,45.24,42.8,55.14,
DATA,D,20220415,00:00:00,43,43.86,41.84,53,
DATA,D,20220418,00:00:00,43.24,43.54,41.36,53.24,
DATA,D,20220419,00:00:00,41.86,41.9,39,51.86,
DATA,D,20220420,00:00:00,40.6,42.04,39.86,50.6,
DATA,D,20220421,00:00:00,41.5,41.5,39.98,51.5,
DATA,D,20220422,00:00:00,40.38,40.38,39.08,50.38,
DATA,D,20220425,00:00:00,39.68,39.7,38.2,49.68,
DATA,D,20220426,00:00:00,38.7,41.16,38.6,48.7,
DATA,D,20220427,00:00:00,40.96,42.96,40.42,50.96,
DATA,D,20220428,00:00:00,42.9,44.36,41.8,52.9,
